,Made Donation in March 2007
659,0.2425767254
276,0.2425056539
263,0.169577541
303,0.1882414467
83,0.2414331385
500,0.2425162
530,0.1694690805
244,0.1695250492
249,0.2425162
728,0.2387318054
129,0.3574590684
534,0.2423687562
317,0.2425173086
401,0.169577541
696,0.4930878436
192,0.1695327569
176,0.1985007371
571,0.2425767126
139,0.2425162
423,0.2322272004
563,0.511087051
56,0.3330626938
528,0.1836767058
101,0.169577541
467,0.2387739245
382,0.2425162
466,0.1694750703
294,0.1695250492
512,0.1695503544
659,0.2425767254
389,0.2425162
487,0.24251635
701,0.1695775026
419,0.1695133633
536,0.2424963445
240,0.2424960088
508,0.24236953
515,0.1695250492
283,0.2144166277
650,0.169577541
65,0.1988881772
228,0.4702624382
741,0.2424963428
297,0.1694456837
464,0.2229787257
63,0.1695775026
231,0.2787973157
28,0.1695084095
248,0.1695250492
357,0.169613163
300,0.2133851556
726,0.2410045383
680,0.3363467904
520,0.5620932848
254,0.2361273535
582,0.2549413647
143,0.188156194
98,0.3963599328
1,0.1694914923
221,0.2425162
352,0.169577541
64,0.2425161947
138,0.2425162
745,0.2425162
64,0.2425161947
688,0.242366935
623,0.2425094999
289,0.2425162
174,0.2425384668
690,0.169577541
105,0.1694998517
427,0.316683094
48,0.1883220756
14,0.169577541
657,0.1882453229
301,0.2424960449
455,0.2146534712
579,0.2677612151
722,0.2295930449
98,0.3963599328
491,0.1883220756
303,0.1882414467
466,0.1694750703
65,0.1988881772
300,0.2133851556
9,0.1695809956
622,0.1695327569
323,0.2426595786
289,0.2425162
568,0.1695137162
290,0.169577541
156,0.4608809356
464,0.2229787257
426,0.1695081165
306,0.2414330134
4,0.2414330476
12,0.1695174088
187,0.1882519484
406,0.2424963182
96,0.1694690805
509,0.1695775026
733,0.2425161509
548,0.1695311951
478,0.2316638734
501,0.174405125
127,0.2550203785
199,0.2425135098
299,0.2425243907
162,0.169577541
235,0.169543903
23,0.1790920097
473,0.169577541
487,0.24251635
683,0.3980301344
303,0.1882414467
309,0.2425160077
569,0.1695810545
34,0.3107083968
686,0.2552721568
84,0.1882684153
733,0.2425161509
537,0.2425162
181,0.2417971937
453,0.2425162
67,0.2425162
161,0.2425161995
307,0.1771686676
703,0.1695159372
181,0.2417971937
246,0.1695145524
316,0.2974073609
278,0.1695327569
346,0.2820247096
545,0.169577541
419,0.1695133633
694,0.1694690805
622,0.1695327569
663,0.1694888006
262,0.2471579024
461,0.2425162
373,0.2425162
233,0.169577541
466,0.1694750703
207,0.188156194
263,0.169577541
16,0.1695810545
513,0.2027513113
449,0.1777637418
429,0.2410043075
701,0.1695775026
632,0.2425157989
529,0.2425162
245,0.2425003515
344,0.2425583218
353,0.2792980347
241,0.2425162
633,0.1695364257
624,0.1695775026
726,0.2410045383
189,0.1695327569
138,0.2425162
402,0.1695250492
511,0.2132412433
590,0.2425162
334,0.2425161933
447,0.2406077485
119,0.1694750703
389,0.2425162
644,0.169577541
423,0.2322272004
131,0.1695810545
405,0.1883220756
82,0.169577541
643,0.2425162
156,0.4608809356
617,0.1694520341
574,0.2227565384
272,0.2425162
613,0.2213284795
545,0.169577541
685,0.1695250492
570,0.2090247024
537,0.2425162
691,0.1695364257
85,0.2424335123
483,0.1695145524
455,0.2146534712
93,0.1695327569
744,0.1695775026
33,0.1695145524
321,0.2425162
523,0.27183607
426,0.1695081165
196,0.2399222778
301,0.2424960449
103,0.1695364257
224,0.1694837423
454,0.2425162
585,0.169465927
154,0.2384222972
